Metric,Value
Loss,1.7296959161758423
Accuracy,0.2380952388048172
Precision,0.1038150363789456
Cal-Accuracy,0.23809523809523808
Cal_Recall,0.23809523809523808
Cal_f1_score,0.12984870692244288
Confusion Matrix,"[[ 0 96  0  0  0  0  0  0  0  0]
 [ 0 74  0  0  0  0  0  0  0  0]
 [ 0 40 13  0 26  0  0  0  0 13]
 [ 0  0  7  0 64  0  0  0  0 13]
 [ 0  0 14  2 41  0  0  0  0 16]
 [ 0  0  6  3 52  0  0  0  0 17]
 [ 0  0  4  1 45  0  0  0  0 22]
 [ 0  0  2  2 33  0  0  0  0 30]
 [ 0  0  1  2 17  0  0  0  0 62]
 [ 0  0  0  3 15  0  0  0  0 62]]"
