epoch,accuracy,loss,val_accuracy,val_loss
0,0.19216300547122955,1.9653348922729492,0.190476194024086,1.8599709272384644
1,0.19686520099639893,1.8448282480239868,0.19548872113227844,1.8262319564819336
2,0.19404388964176178,1.8298394680023193,0.17669172585010529,1.8175945281982422
3,0.20125392079353333,1.8318336009979248,0.17543859779834747,1.8214704990386963
4,0.19310344755649567,1.8296465873718262,0.19298245012760162,1.8139660358428955
5,0.19780564308166504,1.8253523111343384,0.17669172585010529,1.82114577293396
6,0.19561128318309784,1.8227952718734741,0.18295739591121674,1.8089543581008911
7,0.19749216735363007,1.8195343017578125,0.18421052396297455,1.8098610639572144
8,0.19341692328453064,1.821435570716858,0.18421052396297455,1.8114349842071533
9,0.1937304139137268,1.821786880493164,0.18045112490653992,1.8117179870605469
10,0.20188087224960327,1.8154295682907104,0.189223051071167,1.8048269748687744
11,0.2025078386068344,1.8197277784347534,0.1917293220758438,1.818657398223877
