epoch,accuracy,loss,val_accuracy,val_loss
0,0.19122256338596344,1.9590163230895996,0.22055137157440186,1.831332802772522
1,0.1905956119298935,1.8345212936401367,0.190476194024086,1.827642560005188
2,0.1840125322341919,1.8350152969360352,0.19548872113227844,1.8129947185516357
3,0.19404388964176178,1.8330594301223755,0.21177944540977478,1.813713550567627
4,0.19341692328453064,1.8265411853790283,0.20426064729690552,1.8172547817230225
5,0.18996864557266235,1.8238263130187988,0.20426064729690552,1.8164077997207642
6,0.19435736536979675,1.8237390518188477,0.20426064729690552,1.808483600616455
7,0.2047021985054016,1.8217839002609253,0.17669172585010529,1.8196086883544922
8,0.20752350986003876,1.8196238279342651,0.19548872113227844,1.8202534914016724
9,0.19467084109783173,1.8177284002304077,0.21177944540977478,1.809120535850525
10,0.20282131433486938,1.822290062904358,0.21804511547088623,1.810233235359192
