Metric,Value
Loss,1.3770540952682495
Accuracy,0.4047619104385376
Precision,0.3874124528751321
Cal-Accuracy,0.40476190476190477
Cal_Recall,0.40476190476190477
Cal_f1_score,0.3730809324410894
Confusion Matrix,"[[41 51  4  0  0  0  0  0  0  0]
 [16 54  4  0  0  0  0  0  0  0]
 [15 23  4 27 17  0  0  0  4  2]
 [ 0  0  1 52 21  0  1  2  3  4]
 [ 0  0  4 34 18  0  0  0  8  9]
 [ 0  0  0  0  0 22 54  1  1  1]
 [ 0  0  0  0  0 13 57  3  0  0]
 [ 0  0  0  0  1 12 25 11  8 10]
 [ 0  0  0  1  2  2  0  7 31 39]
 [ 0  0  0  0  6  1  0 13 25 33]]"
