Metric,Value
Loss,1.8262319564819336
Accuracy,0.19548872113227844
Precision,0.04700697321535131
Cal-Accuracy,0.19548872180451127
Cal_Recall,0.19548872180451127
Cal_f1_score,0.07347747126909136
Confusion Matrix,"[[ 0 96  0  0  0  0  0  0  0  0]
 [ 0 74  0  0  0  0  0  0  0  0]
 [ 0 40  0  0  0  0  0  0 52  0]
 [ 0  0  0  0  0  0  0  0 84  0]
 [ 0  0  0  0  0  0  0  0 73  0]
 [ 0  0  0  0  0  0  0  0 78  0]
 [ 0  0  0  0  0  0  0  0 72  0]
 [ 0  0  0  0  0  0  0  0 67  0]
 [ 0  0  0  0  0  0  0  0 82  0]
 [ 0  0  0  0  0  0  0  0 80  0]]"
