epoch,accuracy,loss,val_accuracy,val_loss
0,0.18150469660758972,1.9457980394363403,0.21052631735801697,1.8346904516220093
1,0.20062695443630219,1.8336782455444336,0.18295739591121674,1.8247278928756714
2,0.20094044506549835,1.8291784524917603,0.21177944540977478,1.8178366422653198
3,0.19655172526836395,1.8260785341262817,0.2017543911933899,1.8085927963256836
4,0.19843259453773499,1.825082540512085,0.19298245012760162,1.8213257789611816
5,0.20344828069210052,1.8211830854415894,0.20426064729690552,1.8038747310638428
6,0.21442006528377533,1.8074318170547485,0.2380952388048172,1.7296959161758423
7,0.2125391811132431,1.805323839187622,0.18295739591121674,1.8232598304748535
8,0.1971786767244339,1.8257532119750977,0.21052631735801697,1.8204158544540405
9,0.19435736536979675,1.8212380409240723,0.20676691830158234,1.8080648183822632
10,0.20344828069210052,1.8263601064682007,0.18295739591121674,1.8119837045669556
11,0.20000000298023224,1.8163381814956665,0.17669172585010529,1.8125946521759033
12,0.19404388964176178,1.8193473815917969,0.19548872113227844,1.8128687143325806
13,0.21097178757190704,1.8182165622711182,0.17669172585010529,1.8178836107254028
14,0.19874608516693115,1.8160409927368164,0.22055137157440186,1.8082752227783203
15,0.2047021985054016,1.8177261352539062,0.21052631735801697,1.8096562623977661
16,0.1981191188097,1.817897915840149,0.19298245012760162,1.8135943412780762
