Metric,Value
Loss,1.8088687658309937
Accuracy,0.22055137157440186
Precision,0.06872759197406432
Cal-Accuracy,0.22055137844611528
Cal_Recall,0.22055137844611528
Cal_f1_score,0.09963960219471428
Confusion Matrix,"[[96  0  0  0  0  0  0  0  0  0]
 [74  0  0  0  0  0  0  0  0  0]
 [40  0  0  0  3  0  0  0  0 49]
 [ 0  0  0  0  1  0  0  0  0 83]
 [ 0  0  0  0  0  0  0  0  0 73]
 [ 0  0  0  0  0  0  0  0  0 78]
 [ 0  0  0  0  0  0  0  0  0 72]
 [ 0  0  0  0  0  0  0  0  0 67]
 [ 0  0  0  0  0  0  0  0  0 82]
 [ 0  0  0  0  0  0  0  0  0 80]]"
