Metric,Value
Loss,1.831332802772522
Accuracy,0.22055137157440186
Precision,0.06863417046016401
Cal-Accuracy,0.22055137844611528
Cal_Recall,0.22055137844611528
Cal_f1_score,0.09949495083252338
Confusion Matrix,"[[96  0  0  0  0  0  0  0  0  0]
 [74  0  0  0  0  0  0  0  0  0]
 [40  0  0  0  0  0  0  0  0 52]
 [ 0  0  0  0  0  0  0  0  0 84]
 [ 0  0  0  0  0  0  0  0  0 73]
 [ 0  0  0  0  0  0  0  0  0 78]
 [ 0  0  0  0  0  0  0  0  0 72]
 [ 0  0  0  0  0  0  0  0  0 67]
 [ 0  0  0  0  0  0  0  0  0 82]
 [ 0  0  0  0  0  0  0  0  0 80]]"
