Wavelet,Experiment,Loss,Accuracy,Precision,Cal-Accuracy,Cal_Recall,Cal_f1_score
haar,29,1.3654139041900635,0.3897243142127991,0.37696767778846846,0.38972431077694236,0.38972431077694236,0.35165064087086517
db10,29,7.732605457305908,0.18796992301940918,0.47947389901835014,0.18796992481203006,0.18796992481203006,0.14622603700471332
sym2,29,1.3770540952682495,0.4047619104385376,0.3874124528751321,0.40476190476190477,0.40476190476190477,0.3730809324410894
coif1,29,2.1704180240631104,0.31704261898994446,0.4732066659762422,0.31704260651629074,0.31704260651629074,0.2512159248683349
bior1.1,29,1.3654139041900635,0.3897243142127991,0.37696767778846846,0.38972431077694236,0.38972431077694236,0.35165064087086517
