Metric,Value
Loss,7.732605457305908
Accuracy,0.18796992301940918
Precision,0.47947389901835014
Cal-Accuracy,0.18796992481203006
Cal_Recall,0.18796992481203006
Cal_f1_score,0.14622603700471332
Confusion Matrix,"[[35 54  7  0  0  0  0  0  0  0]
 [31 39  2  0  0  0  2  0  0  0]
 [15 20  5  0 11 12 25  4  0  0]
 [ 0  0  0  0 17 11 50  6  0  0]
 [ 0  0  0  0  8 10 50  5  0  0]
 [ 0  0  0  0  0  1 62 16  0  0]
 [ 0  0  0  0  0  1 49 23  0  0]
 [ 0  0  0  0  0 11 43 13  0  0]
 [ 0  0  0  0  0 10 71  1  0  0]
 [ 0  0  0  0  0  8 70  0  0  0]]"
